Id,Name,Country,longitude,latitude,PI names,Site type,Elevation above sea,Station class,Labeling date
NO-SOOP-Bergen Kirkenes,NO-SOOP-Bergen Kirkenes,Norway (NO),,,King,soop,-4,1,
http://meta.icos-cp.eu/resources/stations/ES_FI-Tvm,Tvärminne,Finland (FI),23.2503,59.8418,Mammarella,water bodies,1,Associated,2023/11/15
MLH,Malin Head,Ireland (IE),-7.3395,55.3718,Martin,coastal,,2,
http://meta.icos-cp.eu/resources/stations/ES_FI-Sod,Sodankyla,Finland (FI),26.63859,67.36239,Aurela,evergreen needleleaf forests,187,1,2023/5/23
http://meta.icos-cp.eu/resources/stations/OS_TCarrier,Sea-Cargo Express,Norway (NO),,,Omar,soop,-5,2,2024/11/6
http://meta.icos-cp.eu/resources/stations/AS_SSL,Schauinsland,Germany (DE),7.9166,47.9167,Blessing Hoheisel Meinhardt,mountain,1205,2,2022/5/18
http://meta.icos-cp.eu/resources/stations/ES_GF-Guy,Guyaflux,French Guiana (GF),-52.9248,5.2787,Bonal,evergreen broadleaf forests,40,Associated,2019/11/21
http://meta.icos-cp.eu/resources/stations/ES_IT-Ren,Renon,Italy (IT),11.43369,46.58686,Montagnani,evergreen needleleaf forests,1744,2,2021/11/17
http://meta.icos-cp.eu/resources/stations/AS_UTO,Utö - Baltic sea,Finland (FI),21.3672,59.7839,Laurila,non-forested island on sea,8,2,2019/5/22
http://meta.icos-cp.eu/resources/stations/ES_BE-Wm2,Westmalle2,Belgium (BE),4.6624384,51.29747,De Meulder,croplands,,Associated,
http://meta.icos-cp.eu/resources/stations/ES_BE-Wm1,Westmalle1,Belgium (BE),4.6572485,51.296432,De Meulder,croplands,,Associated,
http://meta.icos-cp.eu/resources/stations/ES_FR-Fon,Fontainebleau-Barbeau,France (FR),2.780096,48.476357,Berveiller,deciduous broadleaf forests,103,1,2019/11/21
http://meta.icos-cp.eu/resources/stations/ES_BE-Maa,Maasmechelen,Belgium (BE),5.631851,50.97987,Roland,closed shrublands,85,2,2020/5/27
http://meta.icos-cp.eu/resources/stations/ES_DE-Brs,Braunschweig,Germany (DE),10.4487,52.2966,Boeske,croplands,78,Associated,2024/5/14
http://meta.icos-cp.eu/resources/stations/AS_IPR,Ispra,Italy (IT),8.636,45.8147,Arriga Manca,tall tower,210,2,2018/11/30
http://meta.icos-cp.eu/resources/stations/OS_IT-FOS-W1M3A,W1M3A,Italy (IT),9.118163,43.834516,Bozzano Pensieri,fixed station,-8,1,2022/5/18
http://meta.icos-cp.eu/resources/stations/AS_OXK,Ochsenkopf,Germany (DE),11.8083,50.03,Kneuer Lindauer Müller-Williams Zwerschke,tall tower,1022,1,2019/11/21
http://meta.icos-cp.eu/resources/stations/AS_WES,Westerland,Germany (DE),8.308,54.9231,Couret Schmidt,surface  land,12,2,2021/11/17
http://meta.icos-cp.eu/resources/stations/ES_IE-JtC,Johnstown Castle,Ireland (IE),-6.5,52.298,Lanigan Murphy,grasslands,,2,
http://meta.icos-cp.eu/resources/stations/ES_ES-LMa,Las Majadas de Tiétar,Spain (ES),-5.77465,39.94033,Carrara,savannas,265,Associated,2023/11/15
http://meta.icos-cp.eu/resources/stations/OS_GOSars,G.O. Sars,Norway (NO),,,Skjelvan,soop,-6,1,2018/11/30
SE-OES,SE-FOS-Östergarnsholm,Sweden (SE),18.984339,57.430061,Rutgersson,fixed station,-4,2,2025/5/21
http://meta.icos-cp.eu/resources/stations/OS_11BE,Belgica,Belgium (BE),,,Knockaert Naudts Parmentier,soop,-4,1,
http://meta.icos-cp.eu/resources/stations/ES_FR-MsS,Montiers sur Saulx,France (FR),5.31187,48.53816,Galy,forest,383,Associated,
SE-TAV,SE-SOOP Tavastland,Sweden (SE),,,Nilsson,soop,-4,1,
http://meta.icos-cp.eu/resources/stations/ES_SE-Myc,Mycklemossen,Sweden (SE),12.1694,58.36503,Weslien,permanent wetlands,81,2,2024/11/6
http://meta.icos-cp.eu/resources/stations/ES_IT-Tor,Torgnon,Italy (IT),7.578055,45.84444,Galvagno,grasslands,2168,Associated,2017/11/17
http://meta.icos-cp.eu/resources/stations/ES_BE-Bra,Brasschaat,Belgium (BE),4.51984,51.30761,Janssens,evergreen needleleaf forests,16,1,2020/11/17
http://meta.icos-cp.eu/resources/stations/AS_SNO,Station Nord,Denmark (DK),-16.3943,81.3605,Sørensen,ground,24,2,2021/5/25
ARN,El Arenosillo,Spain (ES),-6.734,37.104,Adame-Carnero,tall tower,,2,
http://meta.icos-cp.eu/resources/stations/ES_FI-Ant,Anttila,Finland (FI),27.2347,63.16358,Shurpali,croplands,,2,
http://meta.icos-cp.eu/resources/stations/ES_IE-Dyy,Doory,Ireland (IE),-7.606,53.314,Murphy,grasslands,,Associated,
http://meta.icos-cp.eu/resources/stations/ES_FR-Lus,Lusignan,France (FR),0.1206518,46.414246,Chabbi,grasslands,154,2,2022/11/23
http://meta.icos-cp.eu/resources/stations/OS_1199,Thornton Buoy,Belgium (BE),2.993217,51.57989,Cattrijsse Gkritzalis Theetaert,fixed station,-3,1,2018/11/30
http://meta.icos-cp.eu/resources/stations/AS_HEL,Helgoland,Germany (DE),7.8833,54.1804,Kneuer Lindauer Müller-Williams Zwerschke,(tall) tower,43,2,2020/11/17
FI-SER,FI-SOOP-Silja Serenade,Finland (FI),,,Honkanen Laakso,soop,-5,2,
http://meta.icos-cp.eu/resources/stations/ES_DE-Gri,Grillenburg,Germany (DE),13.51259,50.95004,Mauder,grasslands,385,Associated,2018/11/30
http://meta.icos-cp.eu/resources/stations/ES_GR-Prt,Pertouli,Greece (GR),21.4989,39.5434,Gitas,evergreen needleleaf forests,1350,2,
http://meta.icos-cp.eu/resources/stations/OS_74FS,Porcupine Abyssal Plain,United Kingdom of Great Britain and Northern Ireland (GB),-16.5,49,Hartman,fixed station,-1,2,2023/5/23
http://meta.icos-cp.eu/resources/stations/ES_DE-RuW,Wustebach,Germany (DE),6.3309627,50.50493,Schmidt,evergreen needleleaf forests,610,Associated,2022/5/18
http://meta.icos-cp.eu/resources/stations/ES_FR-Tou,Toulouse,France (FR),1.37474,43.572857,Calvet,grasslands,158,Associated,2021/11/17
http://meta.icos-cp.eu/resources/stations/ES_DE-Msr,Mooseurach,Germany (DE),11.456168,47.80918,Drösler,evergreen needleleaf forests,602.07,Associated,2022/5/18
http://meta.icos-cp.eu/resources/stations/ES_DE-RuS,Selhausen Juelich,Germany (DE),6.4471445,50.865906,Schmidt,croplands,106,1,2019/5/22
http://meta.icos-cp.eu/resources/stations/AS_CBW,Cabauw,Netherlands (NL),4.9264,51.9703,Frumau Hensen,tall tower,0,1,2023/5/23
http://meta.icos-cp.eu/resources/stations/AS_CMN,Monte Cimone,Italy (IT),10.6999,44.1936,Cristofanelli Montaguti,mountain,2165,2,2018/11/30
http://meta.icos-cp.eu/resources/stations/ES_IT-Noe,Arca di Noe - Le Prigionette,Italy (IT),8.151694,40.606174,Spano,closed shrublands,25,Associated,2023/5/23
http://meta.icos-cp.eu/resources/stations/ES_GL-NuF,Nuuk Fen,Greenland (GL),-51.386066,64.130936,Friborg,permanent wetlands,43,Associated,2021/11/17
